var mean se_mean sd 2.5% 25% 50% 75% 97.5% n_eff Rhat
b[45,1] 0.24 3.8E-05 9.6E-05 0.24 0.24 0.24 0.24 0.24 6 1.03
b[46,1] 2.53 0.00044 0.0012 2.53 2.53 2.53 2.53 2.54 8 1.16
b[47,1] 0.19 2.5E-05 6.6E-05 0.19 0.19 0.19 0.19 0.19 7 1.23
b[48,1] 0.26 3.3E-05 6.2E-05 0.26 0.26 0.26 0.26 0.26 4 1.96
b[49,1] 2.58 0.0003 0.00079 2.58 2.58 2.58 2.58 2.58 7 0.99
b[50,1] 0.82 9.6E-05 0.0003 0.82 0.82 0.82 0.82 0.82 10 1.06
b[51,1] 1.47 0.00017 0.0004 1.47 1.47 1.47 1.47 1.47 6 1.01
b[52,1] 1.2 0.00015 0.00038 1.2 1.2 1.2 1.2 1.2 7 1.33
b[53,1] 0.29 6.7E-05 0.00013 0.29 0.29 0.29 0.29 0.29 4 1.65
b[54,1] 0.17 6.1E-05 0.0001 0.17 0.17 0.17 0.17 0.17 3 2.21
b[55,1] 3.24 0.00037 0.001 3.23 3.24 3.24 3.24 3.24 7 0.98
b[56,1] 4.52 0.00068 0.0017 4.51 4.51 4.51 4.52 4.52 6 1.29
b[57,1] 1.3 0.00013 0.00029 1.3 1.3 1.3 1.3 1.3 5 1.46
b[58,1] 0.15 2.7E-05 5.4E-05 0.15 0.15 0.15 0.15 0.15 4 1.65
b[59,1] 0.2 1.6E-05 5.1E-05 0.2 0.2 0.2 0.2 0.2 11 1.02
b[60,1] 4.48 0.00052 0.0015 4.48 4.48 4.48 4.48 4.49 9 1.2
b[61,1] 0.28 6.4E-05 0.00015 0.28 0.28 0.28 0.28 0.28 6 1.02
b[62,1] 2.81 0.00052 0.00097 2.81 2.81 2.81 2.81 2.81 3 1.82
b[63,1] 0.17 1.1E-05 3.3E-05 0.17 0.17 0.17 0.17 0.17 10 0.98
b[64,1] 0.64 0.00019 0.00042 0.64 0.64 0.64 0.64 0.64 5 1.46
b[65,1] 0.63 0.00011 0.00023 0.63 0.63 0.63 0.64 0.64 4 1.55
b[66,1] 1.7 0.00025 0.00064 1.7 1.7 1.7 1.7 1.7 7 0.99
b[67,1] 2 0.00027 0.00074 2 2 2 2 2 8 1.02
b[68,1] 0.3 2.7E-05 7E-05 0.3 0.3 0.3 0.3 0.3 7 1.44
b[69,1] 4.24 0.00035 0.00094 4.23 4.24 4.24 4.24 4.24 7 1.06
b[70,1] 0.71 0.00013 0.00026 0.71 0.71 0.71 0.71 0.71 4 1.7
b[71,1] 7.03 0.01 0.02 6.99 7.01 7.03 7.03 7.07 4 1.65
b[72,1] 1.22 0.00025 0.00053 1.22 1.22 1.22 1.22 1.22 4 1.31
b[1,2] 0.16 5.7E-05 0.00012 0.16 0.16 0.16 0.16 0.16 4 1.61
b[2,2] 0.51 4.5E-05 0.00013 0.51 0.51 0.51 0.51 0.51 9 0.99
b[3,2] 3.08 0.0015 0.0031 3.07 3.07 3.07 3.08 3.08 4 1.52
b[4,2] 0.89 0.00014 0.00029 0.89 0.89 0.89 0.89 0.89 4 1.8
b[5,2] 5.4 0.002 0.0056 5.39 5.4 5.4 5.4 5.42 8 1.25
b[6,2] 1.86 0.00055 0.0013 1.86 1.86 1.86 1.86 1.86 5 1.38
